source_json,test_id,subject,topic_name,total_questions,question_number,type,question_text,correct_answer,option_a,option_b,option_c,option_d,solution,image_data,hint_image,option_images_json,option_image_a,option_image_b,option_image_c,option_image_d,extra_question_images,solution_images,raw_question_json
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,10,single_type,The jute fibres anatomically are *,a,Bast fibres,Cortical fibres,Xylem fibres,Pith fibres,"The secondary phloem is made up of sieve tubes, companion cells and phloem parenchyma. Sclerenchyma fibres are rare. The secondary xylem is formed of vessels, tracheids and xylem parenchyma *13*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,11,single_type,The merismatic tissue responsible for the cutting of vascular tissue (xylem and phloem) is called *,b,Cork cambium,Vascular cambium,Lateral meristem,Endodermis,"Hypodermis in the stem of Cucurbita is made up of angular collenchyma. Hypodermis is two or three-layered or sometimes altogether absent. The vascular bundles are conjoint, open and bicollateral, i.e., phloem is present on both side of xylem.",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,12,single_type,Secondary phloem of a dicot root is made up of I. sieve tube II. companion cell III. phloem parenchyma Select the correct option for given statement *,d,I and II,II and III,I and III,All of these,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,13,single_type,"The internal structure of a plant stem is observed. There is a discontinuous ring of angular collenchyma below the epidermis. Type of vascular bundles are of the same type as in the stems of solanaceous plants. Sieve tube elements possess simple sieve plates, identify the plant. *",b,Helianthus,Cucurbi ta,Zea mays,Hydrilla,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,14,single_type,The innermost layer of cortex is called *,c,Epidermis,Casparian strips,Endodermis,Pericycle,"The secondary phloem is made up of sieve tubes, companion cells and phloem parenchyma. Sclerenchyma fibres are rare. The secondary xylem is formed of vessels, tracheids and xylem parenchyma *13* **(b)** Hypodermis in the stem of Cucurbita is made up of angular collenchyma. Hypodermis is two or three-layered or sometimes altogether absent. The vascular bundles are conjoint, open and bicollateral, i.e., phloem is present on both side of xylem. The innermost layer of cortex is called endodermis. It comprises a single layer of barrel-shaped cells without any intercellular spaces. The tangential as well as radial walls of the endodermal cells have a deposition of water impermeable, waxy material called suberin in the form of casparian strips *15*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,15,single_type,Amphistomatic leaf is *,b,Dicotyledonous leaf,Monocotyledonous leaf,"Both (

**Options:",None of these,"The isobilateral monocot leaves usually do not show a distinction into petiole and lamina. The leaf base is commonly sheathing, that is covering the stem partially or completely. The venation is parallel. Amphistomatic leaf have stomata on both the surface",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,16,single_type,Which is not a characteristic of plant cell walls? *,a,Found only in the sporophyte phase of life cycle,Among other compounds contains compounds built of simple sugars,May contain enzymes that are biologically active,Often contain strengthening polymers,"The isobilateral monocot leaves usually do not show a distinction into petiole and lamina. The leaf base is commonly sheathing, that is covering the stem partially or completely. The venation is parallel. Amphistomatic leaf have stomata on both the surface Cell wall in a plant cell is found in both the phases, i.e., sporophytic and gametophytic. *17*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,17,single_type,The ring arrangement of vascular bundle is the characteristic feature of *,d,Dicot root,Monocot root,Monocot stem,Dicot stem,"The 'ring' arrangement of vascular bundles is a characteristic of dicot stem. Each vascular bundle is conjoint, open and with endarch protoxylem",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,18,single_type,"3 So, the arrangement of plants in decreasing order of their stomatal index in Y, Z, X. *330* ## **(",d,"The vascular system consists of complex tissue, the phloem and the xylem. The xylem and phloem together constitutes the vascular bundles *332* #### **(",Meristem consists of cells in state of continuous cell division. These cells are most active and show high rate of cell division and metabolism. *335* #### **(,The initiation of vascular cambium during secondary growth phase takes place in pericycle which is present in between xylem and phloem *333* **(,"Lenticels are small pores formed on the surface of stems and roots of higher plants. Lenticels usually arise below the stomata of the original epidermis, where loose packing tissue becomes waterproofed with suberin, leaving large intercellular spaces through which gas exchange can take place. *331* #### **(","The 'ring' arrangement of vascular bundles is a characteristic of dicot stem. Each vascular bundle is conjoint, open and with endarch protoxylem Both apical meristem and intercalary meristem are primary meristems because they appear early in life of plants and contributes to the formation of primary plant body",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,19,single_type,I. These tissue are found as layers or patches II. It consists of cells which are thickened at the corners III. It often contains chloroplast IV. Intercellular spaces are absent V. They provide mechanical support to growing parts of plants The above characters are attributed to *,b,Vascular tissue,Collenchyma,Parenchyma,Simple sclerenchyma,"Collenchyma. The collenchyma occurs in layers below the epidermis in dicotyledonous plants. It is found either as a homogenous layer or in patches. It consists of cells which are much thickened at the corners due to the deposition of cellulose, hemicellulose and pectin. Collenchymatous cells may be oval, spherical or polygonal and often contain chloroplasts. These cells assimilate food when they contain chloroplasts. Intercellular spaces are absent. They provide mechanical support to the growing parts of the plant such as young stem and petiole of a leaf",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,20,single_type,Examples for lateral meristems are *,d,Phellogen and procambium,Fascicular cambium and procambium,Procambium and dermatogen,Fascicular cambium and cork cambium,"Lateral meristems occur laterally in the axis, parallel to the sides of stems and roots. This meristem consists of initials, which divide mainly in one plane (periclinal) and results in increase in the diameter of an organ, e.g., cambium of vascular bundles (fascicular, interfascicular and extrastelar cambium), cork cambium or phellogen.",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,21,single_type,Medullary or pith ray is the *,a,Radial strip of parenchyma which is present between vascular bundles,Radial strip of collenchyma which is present between vascular bundles,Radial strip of sclerenchyma which is present between vascular bundles,The another name of stele,Medullary or pith rays They are the radial strips of parenchyma which are present between adjacent vascular bundles. The medullary rays connects the pith with pericycle and cork,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,22,single_type,Which of the function in the given options does not belongs to the monocot root? *,d,Conduction of water from the root hairs to the inner tissue,Storage of food,The outer most layer or layers of the cortex produce protective exodermis in the older roots,Presence of secondary growth,"Due to the absence of vascular cambium the monocots don't show secondary growth *23* #### **(d)** Both (b) and (c). When xylem and phloem within a vascular bundle are arranged in an alternate manner on different radii, the arrangement is called radial, such as in roots. In conjoint type of vascular bundles, the xylem and phloem are situated at the same radius of vascular bundles. Such vascular bundles are common in stems and leaves. The conjoint vascular bundles usually have the phloem located only on the outer side of xylem *24* #### **(a)** The periderm consists of phellem (cork), phellogen (cork cambium) and phelloderm. The Phellogen develops in the epidermis, the cortex, the phloem or the root pericycle and produces phellem towards the outside and phelloderm towards the inside. *25* ## **(d)** When the xylem is differentiated from the point of origin towards outside (i.e., periphery of axis), it is known as centrifugal xylem. In such cases as represented by stems, the protoxylem is situated towards inside and the metaxylem towards outside. This type of condition of xylem is called endarch.",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,23,single_type,Conjoint vascular bundles are common in *,d,Roots,Stems,Leaves,Both (,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,24,single_type,Periderm is produced from *,,Cork cambium,Procambium,Secondary cortex,Vascular cambium,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,26,single_type,Root apical meristem is derived from the *,c,Plumule part of embryo,Scutellum part of embryo,Radical part of embryo,Endosperm part of embryo,"Root Apical Meristem It is found at the tip of the main root and its branches. In case of tap root system, the root apical meristem is formed from radicle part of the embryo or its derivatives. In adventitious root, the root apical meristem is produced from the derivatives of shoot apex",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,27,single_type,"Croton

**Options:**
-",c,I and II,II and III,III and IV,II and IV,"Usually, epidermis consists of single layer of epidermal cells (i.e., uniseriate). But in case of Nerium, multiple epidermis is found with thick-walled epidermal cells.",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,28,single_type,"The growth of root and stem in length with the help of apical meristem is called …A Apart from primary growth most dicotyledonous plant exhibit an increase in girth called …B… Choose the correct combination of A, B and C in respect to the above paragraph A-primary growth; B-secondary growth

**Options:**
-",a,,A-secondary growth; B-primary growth A-secondary growth; B-tertiary growth,,A-primary growth; B-tertiary growth,"The primary growth in plants occur as a result of activity of the apical meristem, which helps in the elongation of roots with the help of root apical meristem and elongation of stem with shoot apical meristem. Dry growth is exhibited by the presence of vascular cambium *29*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,29,numerical,"Which of the following statement is correct? Study of the internal structure is called anatomy Plants have cells as the basic unit cells, are organised into tissues Tissues are organised into organs All of the above",d,,,,,"Study of internal structure of plants is called anatomy. Plants have cells as the basic unit, cells are organised into tissues and in turn the tissues are organised into organs *30*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,30,single_type,"In monocotyledonous stem, the vascular bundles are Conjoint and open Conjoint and closed Scattered through out the ground tissue *",d,I and II,II and III,III and IV,"Both (

**Options:","In monocotyledon, the vascular bundles are scattered throughout the ground tissue. They are conjoint and closed (not having vascular cambium)",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,31,single_type,"Select the wrong statements I. Primary and secondary phloem gets crushed during secondary growth II. During secondary growth, primary xylem remains more or less intact *",d,I is correct and II is incorrect,II is correct and I is incorrect,Both are incorrect,Both are correct,"Study of internal structure of plants is called anatomy. Plants have cells as the basic unit, cells are organised into tissues and in turn the tissues are organised into organs *30* **(d)** In monocotyledon, the vascular bundles are scattered throughout the ground tissue. They are conjoint and closed (not having vascular cambium) The primary xylem is in the centre of the stem, while primary phloem is pushed outward and crushed into the cortex by the significant activity of vascular cambium. While the secondary phloem differentiates from the cells that divide towards the outside of the stem",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,32,multiple_type,I. Fat II. Protein III. Sugar IV. Salt Which of the above is/are present in higher concentration with the meristematic cells? *,c,Only I,I and II,Only IV,III and IV,"In the meristematic cells, there is no reserve food materials like fat, protein and sugar. So, salts or inorganic material have more concentration than any other cells *33*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,33,single_type,G H Shull observed inbreeding depression in a plant. Miller and Letham isolated a hormone from the immature seeds of that plant. Which of the following characters is not associated with the plant? *,d,Atactostelic condition in stem,Bundle sheath in leaf,Chromosomal number of endospermous cell is 30,Medulla absent in the root,Inbreeding is mating between individuals related by descent or ancestry. Inbreeding depression is the reduction or loss in vigour and fertility as a result of inbreeding. Detailed information on inbreeding in maize was published independently by East and Shull. Maize is a monocot plant. Bundle sheath in leaf and medulla in roots are present in maize.,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,34,single_type,The position of protoxylem in leaf is *,a,Adaxial,Abaxial,Surrounded by metaxylem,Lateral,"Inbreeding is mating between individuals related by descent or ancestry. Inbreeding depression is the reduction or loss in vigour and fertility as a result of inbreeding. Detailed information on inbreeding in maize was published independently by East and Shull. Maize is a monocot plant. Bundle sheath in leaf and medulla in roots are present in maize. In the leaf of flowering plants, the phloem is always found towards the lower side (abaxial) and xylem towards the upper (adaxial) side.",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,35,single_type,"The inner, darker and harder portion of secondary xylem that cannot conduct water, in an older dicot stem, is called *",d,Alburnum,Bast,Wood,Duramen,"The inner, darker and harder portion of secondary xylem that cannot conduct water, in an older dicot stem is known as heartwood or duramen, whereas the outer, functional, water conducting, younger secondary xylem constitute the sap-wood or alburnum. *36*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,36,single_type,The cells arranged in multiple layers between the epidermis and pericycle is called *,d,Pith,Stele,Medullary rays,Cortex,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,37,single_type,Hardness of seed coats is due to the presence of *,d,Sclerenchymatous fibres,Sclereids,Bast,Stone cells,The cells arranged in multiple layer between epidermis and pericycle constitutes the cortex (dicot stem) It consists of three zones - (i) Hypodermis - (ii) Cortical layer - (iii) Endodermis Stone cells provide the hardness to seed coats.,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,38,single_type,Epidermis is derived from *,d,Cambium,Primary xylem,Secondary xylem,Protoderm,"Epidermis Epidermis is the outermost protective layer of plant organs. It is usually simple layered but in the leaves of tropical plants ( *e . g .,* oleander, banyan) and velamen of some roots, the epidermis is more than one layer thickness. The epidermal tissue system is derived from the protoderm *39*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,39,single_type,The activity of cambium in plants is under the control of *,d,Many physiological factors,Many environmental factors,Only water availability,Both (,"Both (a) and (b). The activity of cambium is under the control of many physiological and environmental factors. In temperate regions, the climatic conditions are not uniform through the year. In the spring season, cambium is very active and produces a large number of xylary elements having vessels with wider cavities. The wood formed during this season is called spring wood or early wood",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,40,single_type,Bark includes I. phellogen II. phellem III. secondary phloem IV. secondary xylem Select the correct combination *,b,Only I,"I, II and III",Only III,All of these,"Both (a) and (b). The activity of cambium is under the control of many physiological and environmental factors. In temperate regions, the climatic conditions are not uniform through the year. In the spring season, cambium is very active and produces a large number of xylary elements having vessels with wider cavities. The wood formed during this season is called spring wood or early wood Bark refers to a number of tissue types viz., periderm and secondary phloem",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,41,single_type,Initiation of lateral roots and vascular cambium during secondary growth organs occurs due to activity of *,b,Endodermis,Pericycle,Casparian strip,Periderm,Next to the endodermis lies a few layers thick-walled parenchymatous cells referred to as pericycle. Initiation of lateral roots and vascular cambium during secondary growth takes place in these cells,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,42,single_type,"I. Sunflower seed II. A wheat leaf

**Options:**
-",d,I and II,II and III,III and IV,II and IV,"In the upper epidermis of monocots (*e . g*., wheat, maize, cereals, grasses), there are some large cells found in groups which are known as motor cells or bulliform cells. These cells help in rolling of leaves in dry conditions *43*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,43,multiple_type,"I. Vessel, II. Tracheids, III. Companion cells Which of the following is/are living cells?

**Options:**
-",b,I and II,Only III,II and III,Only I,Companion cells are present between the sieve tubes in the phloem of angiosperms. There are living cells with a large nucleus that controls the activity of non-nucleated sieve tubes,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,44,single_type,"Vascular bundles, in which xylem and phloem occur as separate bundles are known as

**Options:**
-",c,Collateral,Bicollateral,Radial,Amphivasal,"Companion cells are present between the sieve tubes in the phloem of angiosperms. There are living cells with a large nucleus that controls the activity of non-nucleated sieve tubes The vascular bundles, in which xylem and phloem occur as separate bundles are known as radial vascular bundles, eg, root.",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,45,single_type,"In old trees, the greater part of secondary xylem is dark brown due to the

**Options:**
-",b,Deposition of inorganic material,Deposition of organic material,Activity of cambium,Activity of secondary xylem,"In old trees, the greater part of secondary xylem is dark brown due to the deposition of organic compounds like tanins, resins, oils, gums, aromatic substances and essential oils in the central or innermost layers of the stem. These substances make it hard, durable and resistant to the attacks of microorganisms and insects. The region comprises dead elements with highly lignified walls and is called heart wood",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,46,numerical,"Conjuctive tissue is made up of

**Options:**
- a) and (
- c)",a,,,,,The parenchymatous cells which lies between the xylem and the phloem are called conjuctive tissue,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,47,single_type,I. Peripheral vascular bundles are smaller than the centrally located vascular bundles II. Phloem parenchyma is absent III. Water parenchyma cavities are present within the vascular bundles Which of the above characters belong to the monocotyledonous stem? *,d,I and II,II and III,III and I,"I, II and III","I, II and III. The monocot stem has a sclerenchymatous hypodermis, a large number of scattered vascular bundles, each surrounded by a sclerenchymatous bundle sheath, and a large, conspicuous parenchymatous ground tissue. Vascular bundles are conjoint and closed. Peripheral vascular bundles are generally smaller than the centrally located ones. The phloem parenchyma is absent and watercontaining cavities are present within the vascular bundles *48* ### **(a)** The activity of cambium is under the control of many physiological and environmental factors. In temperate regions, the climatic conditions are not uniform through the year. In the spring season, cambium is very active and produces a large number of xylary elements having vessels with wider cavities. The wood formed during this season is called spring wood or early wood *49* ### **(c)** The meristem that occurs in both roots and shoots and produce the woody axis and appear later than the primary meristem are called the secondary meristem",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,48,single_type,Early wood is formed in dicot plant during *,,Spring season,Winter season,Autumn season,Summer season,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,49,single_type,The meristem which is particularly present in the mature regions of roots and shoots and produce woody axis and appear later than the primary meristem is called *,c,Secondary meristem,Intercalary meristem,Apical meristem,Tertiary meristem,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,50,single_type,A monocot stem with secondary growth is *,c,Lilium,Cocos,Yucca,Asparagus,"Secondary growth is the growth in girth of stem and roots. Anamolous or abnormal secondary growth is found in some monocot stems such as Yucca, Dracaena, Aloe, Agave, etc. *51* ## **(d)** Vessels are absent in some angiosperms e.g., Drimys. This is a homoxylous angiosperm. *52*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,51,single_type,Vessels are absent in this angiosperm. *,d,Mangifera,Magnolia,Dillenia,Drimys,"In monocot stem, vascular bundles are conjoint, collateral and closed. *53* #### **(a)** Sorghum (family-Poaceae) is a monocot plant. The leaves of monocot do not contain palisade parenchyma, because the mesophyll of monocot leaf is not differentiated into palisade and spongy parenchyma, all being thin-walled, chlorophyllous and irregularly compactly arranged with fewer intercellular spaces. *54* #### **(d)** Schmidt (1924) proposed tunica-corpus theory, which states the presence of two distinct zones in angiospermic shoot apices. The peripheral zone is called tunica and the inner core of cells called corpus surrounded by tunica. *55* ### **(b)** Sapwood is also known as alburnum. It is the outerward or peripheral wood of the plant, consisting of living cells and is light in colour and weight. Alburnum represents the functional part of secondary xylem (wood), where tracheids and vessels are not plugged by tyloses and secondary metabolites are not deposited in tracheary elements. *56* #### **(a)** The root apical meristem occupies the tip of root, while shoot apical meristem occupies region of stem apex *57* #### **(b)** Vascular system includes vascular bundles, which can be seen in the veins and the midrib. The size of the vascular bundles are dependent on the size of the veins. The veins vary in thickness in the reticulate venation of the dicot leaves. The vascular bundles are surrounded by a layer of thick walled bundle sheath cells *58* #### **(c)** The meristem, which lies between the regions of permanent tissues is called intercalary meristem. Intercalary maristem is a primary meristem. *59* #### **(a)** Lenticels. At certain regions, the phellogen cuts off closely arranged parenchymatous cells on the outer side instead of cork cells. These parenchymatous cells soon rupture the epidermis, forming a lens-shaped openings called lenticels. Lenticels permit the exchange of gases between the outer atmosphere and the internal tissue of the stem. These occur in most woody trees *60* #### **(a)** After three years, the nail will be one metre above the soil because plants show only apical growth. Only tip of tree will grow, lower part of tree will remain constant.",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,52,single_type,Conjoint collateral closed vascular bundle is found in *,a,Monocot stem,Monocot root,Dicot stem,Dicot root,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,53,single_type,Palisade parenchyma is absent in leaves of *,a,Sorghum,Mustard,Soyabean,Gram,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,54,single_type,The tunica-corpus theory was proposed by *,d,Hofmeister,Nagelli Strasburger,,Schmidt,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,55,single_type,Alburnum is otherwise known as *,b,Periderm,Sapwood,Heartwood,Bark,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,56,single_type,"Roots apical meristem occupies the …A… of roots, while shoot apical meristem occupies the distant most region of the …B… axis Complete the above sentence with the correct combination of A and B *",,A-tip; B-stem,A-side; B-stem,A-laterally; B-root,A-tip; B-meristamatic,,,,,,,,,,,
