additional_data,answer,correct_options,description,gold,index,metadata,options,question,question_type,subject,type
{},\(\mathbf{R}\),[3],,,,{},"[""\\([0, \\infty)\\)"", ""\\([1, \\infty)\\)"", ""\\((0, \\infty)\\)"", ""\\(\\mathbf{R}\\)""]",Let \(f(x) = \log_e x\) and \(g(x) = \frac{x^4 - 2x^3 + 3x^2 - 2x + 2}{2x^2 - 2x + 1}\). Then the domain of \(f \circ g\) is,1.0,Mathematics,
{},12,[3],,,,{},"[""6"", ""10"", ""20"", ""12""]","If the system of equations \((\lambda - 1)x + (\lambda - 4)y + \lambda z = 5\), \(\lambda x + (\lambda - 1)y + (\lambda - 4)z = 7\), \((\lambda + 1)x + (\lambda + 2)y - (\lambda + 2)z = 9\) has infinitely many solutions, then \(\lambda^2 + \lambda\) is equal to",1.0,Mathematics,
{},36000,[0],,,,{},"[""36000"", ""37000"", ""34000"", ""35000""]","The number of words, which can be formed using all the letters of the word ""DAUGHTER"", so that all the vowels never come together, is",1.0,Mathematics,
{},7,[1],,,,{},"[""10"", ""7"", ""8"", ""9""]","Let \(\mathbf{R} = \{(1, 2), (2, 3), (3, 3)\}\) be a relation defined on the set \(\{1, 2, 3, 4\}\). Then the minimum number of elements, needed to be added in \(\mathbf{R}\) so that \(\mathbf{R}\) becomes an equivalence relation, is",1.0,Chemistry,
{},3,[3],,,,{},"[""\\(\\frac{8}{3}\\)"", ""\\(\\frac{7}{3}\\)"", ""2"", ""3""]","Let the area of a \(\triangle PQR\) with vertices \(P(5, 4)\), \(Q(-2, 4)\) and \(R(a, b)\) be 35 square units. If its orthocenter and centroid are \(O\left(2, \frac{14}{5}\right)\) and \(C(c, d)\) respectively, then \(c + 2d\) is equal to",1.0,Mathematics,
{},1,[2],,,,{},"[""2"", ""\\(\\log_e 2\\)"", ""1"", ""\\(e^2\\)""]",The value of \(\int_{e^2}^{e^4} \frac{1}{x} \left( \frac{e^{\left(\log_e x\right)^2 + 1}}{e^{\left(\log_e x\right)^2 + 1}} \right)^{-1} dx\) is,1.0,Mathematics,
{},100,[1],,,,{},"[""50"", ""100"", ""\\(\\frac{81}{25}\\)"", ""\\(\\frac{121}{25}\\)""]","Let \(\left| \frac{z - \overline{z}}{2z + \overline{z}} \right| = \frac{1}{3}\), \(z \in \mathbb{C}\), be the equation of a circle with center at \(C\). If the area of the triangle, whose vertices are at the points \((0, 0)\), \(C\) and \((\alpha, 0)\) is 11 square units, then \(\alpha^2\) equals",1.0,Mathematics,
{},1,[1],,,,{},"[""\\(\\frac{2}{3}\\)"", ""1"", ""0"", ""\\(\\frac{3}{2}\\)""]",The value of \(\left( \sin 70^\circ \right) \left( \cot 10^\circ \cot 70^\circ - 1 \right)\) is,1.0,Mathematics,
{},39,[1],,,,{},"[""22"", ""39"", ""40"", ""26""]","Let \(I(x) = \int \frac{dx}{(x - 11)^{\frac{a}{13}} (x + 15)^{\frac{c}{13}}}\). If \(I(37) - I(24) = \frac{1}{4} \left( \frac{1}{5^{\frac{1}{3}}} - \frac{1}{6^{\frac{1}{13}}} \right)\), \(b, c \in \mathbb{N}\), then \(3(b + c)\) is equal to",1.0,Mathematics,
{},\(x - \tan^{-1} \frac{8}{12}\),[2],,,,{},"[""\\(x - \\tan^{-1} \\frac{4}{3}\\)"", ""\\(x + \\tan^{-1} \\frac{4}{5}\\)"", ""\\(x - \\tan^{-1} \\frac{8}{12}\\)"", ""\\(x + \\tan^{-1} \\frac{4}{12}\\)""]","If \(\frac{\pi}{2} \leq x \leq \frac{3\pi}{4}\), then \(\cos^{-1} \left( \frac{12}{13} \cos x + \frac{5}{13} \sin x \right)\) is equal to",1.0,Mathematics,
{},19,[],,,,{},[],"Let the circle \(C\) touch the line \(x - y + 1 = 0\), have the centre on the positive \(x\)-axis, and cut off a chord of length \(\frac{4}{\sqrt{13}}\) along the line \(-3x + 2y = 1\). Let \(H\) be the hyperbola \(\frac{x^2}{\alpha^2} - \frac{y^2}{2\alpha} = 1\), whose one of the foci is the centre of \(C\) and the length of the transverse axis is the diameter of \(C\). Then \(2\alpha^2 + 3\beta^2\) is equal to",0.0,Mathematics,
{},117,[],,,,{},[],"If the equation \(a(b - c)x^2 + b(c - a)x + c(a - b) = 0\) has equal roots, where \(a + c = 15\) and \(b = \frac{36}{5}\), then \(a^2 + c^2\) is equal to",0.0,Mathematics,
{},30,[],,,,{},[],"If the set of all values of \(a\), for which the equation \(5x^3 - 15x - a = 0\) has three distinct real roots, is the interval \((\alpha, \beta)\), then \(\beta - 2\alpha\) is equal to",0.0,Mathematics,
{},612,[],,,,{},[],The sum of all rational terms in the expansion of \(\left(1 + 2^{1/2} + 3^{1/2}\right)^6\) is equal to,0.0,Mathematics,
{},77,[],,,,{},[],"If the area of the larger portion bounded between the curves \(x^2 + y^2 = 25\) and \(y = |x - 1|\) is \(\frac{1}{4}(b \pi + c)\), \(b, c \in \mathbb{N}\), then \(b + c\) is equal to",0.0,Mathematics,
{},280,[3],,,,{},"[""56"", ""132"", ""174"", ""280""]","For a $3 \times 3$ matrix $M$, let $\text{trace}(M)$ denote the sum of all the diagonal elements of $M$. Let $A$ be a $3 \times 3$ matrix such that $|A|=\frac{1}{2}$ and $\text{trace}(A)=3$. If $B=\text{adj}(\text{adj}(2 A))$, then the value of $|B|+\text{trace}(B)$ equals:",1.0,Mathematics,
{},144,[1],,,,{},"[""96"", ""144"", ""120"", ""72""]","In a group of 3 girls and 4 boys, there are two boys $B_1$ and $B_2$. The number of ways, in which these girls and boys can stand in a queue such that all the girls stand together, all the boys stand together, but $B_1$ and $B_2$ are not adjacent to each other, is:",1.0,Mathematics,
{},5,[0],,,,{},"[""5"", ""3"", ""4"", ""8""]","Let $\alpha, \beta, \gamma$ and $\delta$ be the coefficients of $x^7, x^5, x^3$ and $x$ respectively in the expansion of $\left(x+\sqrt{x^3-1}\right)^5+\left(x-\sqrt{x^3-1}\right)^5, x>1$. If $u$ and $v$ satisfy the equations $\begin{aligned} \alpha u+\beta v &= 18 \\ \gamma u+\delta v &= 20 \end{aligned}$ then $u+v$ equals:",1.0,Mathematics,
{},136,[1],,,,{},"[""148"", ""136"", ""144"", ""140""]","Let a line pass through two distinct points $P(-2,-1,3)$ and $Q$, and be parallel to the vector $3\hat{i}+2\hat{j}+2\hat{k}$. If the distance of the point $Q$ from the point $R(1,3,3)$ is 5, then the square of the area of $\triangle PQR$ is equal to:",1.0,Mathematics,
{},\frac{9}{4},[3],,,,{},"[""\\frac{4}{5}"", ""\\frac{7}{4}"", ""\\frac{8}{3}"", ""\\frac{9}{4}""]","If $A$ and $B$ are two events such that $P(A \cap B)=0.1$, and $P(A \mid B)$ and $P(B \mid A)$ are the roots of the equation $12x^2-7x+1=0$, then the value of $\frac{P(\overline{A} \cup \overline{B})}{P(\overline{A} \cap \overline{B})}$ is:",1.0,Mathematics,
{},\frac{\pi}{6} \sqrt{\frac{\pi}{3}},[1],,,,{},"[""\\frac{\\pi}{4} \\sqrt{\\frac{\\pi}{3}}"", ""\\frac{\\pi}{6} \\sqrt{\\frac{\\pi}{3}}"", ""\\frac{\\pi}{4} \\sqrt{3}"", ""\\frac{\\pi}{6} \\sqrt{3}""]","If $\int e^x \left( \frac{x \sin^{-1} x}{\sqrt{1-x^2}} + \frac{x \ln^{-1} x}{(1-x^2)^{3/2}} + \frac{x}{1-x^2} \right) dx = g(x) + C$, where $C$ is the constant of integration, then $g\left(\frac{1}{2}\right)$ equals:",1.0,Mathematics,
{},\frac{8}{3},[0],,,,{},"[""\\frac{8}{3}"", ""\\frac{4}{3}"", ""8"", ""5""]",The area of the region enclosed by the curves $y=x^2-4x+4$ and $y^2=16-8x$ is:,1.0,Mathematics,
{},2 and 3,[0],,,,{},"[""2 and 3"", ""2 and 2"", ""3 and 2"", ""1 and 3""]","Let $f(x)=\int_0^{x^2} \frac{t^2-8t+15}{e^t} dt, x \in \mathbb{R}$. Then the numbers of local maximum and local minimum points of $f$, respectively, are:",1.0,Mathematics,
{},\frac{343\sqrt{3}}{8},[3],,,,{},"[""17\\sqrt{3}"", ""\\frac{263\\sqrt{3}}{8}"", ""\\frac{34\\sqrt{3}}{3}"", ""\\frac{343\\sqrt{3}}{8}""]","Let $P(4,4\sqrt{3})$ be a point on the parabola $y^2=4ax$ and $PQ$ be a focal chord of the parabola. If $M$ and $N$ are the foot of perpendiculars drawn from $P$ and $Q$ respectively on the directrix of the parabola, then the area of the quadrilateral $PQMN$ is equal to:",1.0,Mathematics,
{},0,[2],,,,{},"[""2"", ""1"", ""0"", ""3""]","Let $\vec{a}$ and $\vec{b}$ be two unit vectors such that the angle between them is $\frac{\pi}{3}$. If $\lambda \vec{a} + 2 \vec{b}$ and $3 \vec{a} - \lambda \vec{b}$ are perpendicular to each other, then the number of values of $\lambda$ in $[-1,3]$ is:",1.0,Mathematics,
{},e,[3],,,,{},"[""e^{-1}"", ""e^2"", ""e^{-2}"", ""e""]","If $\lim_{x \to \infty} \left( \left( \frac{e}{1-e} \right) \left( \frac{1}{e} - \frac{x}{1+e} \right) \right)^x = \alpha$, then the value of $\frac{\log_e \alpha}{1 + \log_e \alpha}$ equals:",1.0,Mathematics,
{},151,[0],,,,{},"[""151"", ""139"", ""163"", ""127""]","Let $\mathbf{A}=\{1,2,3,4\}$ and $\mathbf{B}=\{1,4,9,16\}$. Then the number of many-one functions $f: \mathbf{A} \to \mathbf{B}$ such that $1 \in f(\mathbf{A})$ is equal to:",1.0,Mathematics,
{},5,[1],,,,{},"[""6"", ""5"", ""8"", ""4""]","Suppose that the number of terms in an A.P. is $2k, k \in \mathbb{N}$. If the sum of all odd terms of the A.P. is 40, the sum of all even terms is 55 and the last term of the A.P. exceeds the first term by 27, then $k$ is equal to:",1.0,Mathematics,
{},3\sqrt{5},[3],,,,{},"[""6"", ""5\\sqrt{2}"", ""4\\sqrt{3}"", ""3\\sqrt{5}""]","The perpendicular distance, of the line $\frac{x-1}{2}=\frac{y+2}{-1}=\frac{z+3}{2}$ from the point $P(2,-10,1)$, is:",1.0,Mathematics,
{},16,[0],,,,{},"[""16"", ""12"", ""22"", ""9""]","If the system of linear equations: $\begin{aligned} x + y + 2z &= 6 \\ 2x + 3y + az &= a + 1 \\ -x - 3y + bz &= 2b \end{aligned}$ where $a, b \in \mathbb{R}$, has infinitely many solutions, then $7a + 3b$ is equal to:",1.0,Mathematics,
{},e^{\pi / 6},[3],,,,{},"[""e^{\\pi / 12}"", ""e^{\\pi / 4}"", ""e^{\\pi / 3}"", ""e^{\\pi / 6}""]","If $x=f(y)$ is the solution of the differential equation $\left(1+y^2\right) + \left(x - 2e^{\tan^{-1} y}\right) \frac{dy}{dx} = 0, y \in \left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$ with $f(0)=1$, then $f\left(\frac{1}{\sqrt{3}}\right)$ is equal to:",1.0,Mathematics,
{},25,[1],,,,{},"[""24"", ""25"", ""17"", ""27""]","Let $\alpha_\theta$ and $\beta_\theta$ be the distinct roots of $2x^2 + (\cos \theta) x - 1 = 0, \theta \in (0, 2\pi)$. If $m$ and $M$ are the minimum and the maximum values of $\alpha_\theta^4 + \beta_\theta^4$, then $16(M + m)$ equals:",1.0,Mathematics,
{},\pi,[2],,,,{},"[""4\\pi"", ""\\frac{5\\pi}{6}"", ""\\pi"", ""\\frac{5}{2}""]","The sum of all values of $\theta \in [0, 2\pi]$ satisfying $2\sin^2 \theta = \cos 2\theta$ and $2\cos^2 \theta = 3\sin \theta$ is:",1.0,Mathematics,
{},1 + \frac{\pi}{2},[0],,,,{},"[""1 + \\frac{\\pi}{2}"", ""1 + \\frac{\\pi}{3}"", ""1 + \\frac{\\pi}{6}"", ""1 + \\frac{\\pi}{4}""]","Let the curve $z(1+i) + \bar{z}(1-i) = 4, z \in \mathbb{C}$, divide the region $|z-3| \leq 1$ into two parts of areas $\alpha$ and $\beta$. Then $|\alpha - \beta|$ equals:",1.0,Mathematics,
{},8,[2],,,,{},"[""10"", ""9"", ""8"", ""7""]","Let $\mathbf{E}: \frac{x^2}{a^2} + \frac{y^2}{b^2} = 1, a > b$ and $\mathbf{H}: \frac{x^2}{A^2} - \frac{y^2}{B^2} = 1$. Let the distance between the foci of $\mathbf{E}$ and the foci of $\mathbf{H}$ be $2\sqrt{3}$. If $a - A = 2$, and the ratio of the eccentricities of $\mathbf{E}$ and $\mathbf{H}$ is $\frac{1}{3}$, then the sum of the lengths of their latus rectums is equal to:",1.0,Mathematics,
{},465,[],,,,{},[],"If $\sum_{r=1}^{30} \frac{r^3 (^{30}C_r)^2}{^{30}C_{r-1}} = \alpha \times 2^{29}$, then $\alpha$ is equal to:",0.0,Mathematics,
{},3,[],,,,{},[],"Let $A=\{1,2,3\}$. The number of relations on $A$, containing $(1,2)$ and $(2,3)$, which are reflexive and transitive but not symmetric, is:",0.0,Chemistry,
{},145,[],,,,{},[],"Let $A(6,8)$, $B(10\cos\alpha, -10\sin\alpha)$ and $C(-10\sin\alpha, 10\cos\alpha)$, be the vertices of a triangle. If $L(a,9)$ and $G(h,k)$ be its orthocenter and centroid respectively, then $(5a - 3h + 6k + 100\sin 2\alpha)$ is equal to:",0.0,Mathematics,
{},27,[],,,,{},[],"Let $y=f(x)$ be the solution of the differential equation $\frac{dy}{dx} + \frac{xy}{x^2-1} = \frac{x^4 + 4x}{\sqrt{1-x^2}}, -1 < x < 1$ such that $f(0)=0$. If $6 \int_{-1/2}^{1/2} f(x) dx = 2\pi - \alpha$ then $\alpha^2$ is equal to:",0.0,Mathematics,
{},28,[],,,,{},[],"Let the distance between two parallel lines be 5 units and a point $P$ lie between the lines at a unit distance from one of them. An equilateral triangle $PQR$ is formed such that $Q$ lies on one of the parallel lines, while $R$ lies on the other. Then $(QR)^2$ is equal to:",0.0,Mathematics,
{},4,[1],,,,{},"[""$3 + \\sqrt{3}$"", ""$4$"", ""$4 - \\sqrt{3}$"", ""$3$""]","Let circle $C$ be the image of $x^2 + y^2 - 2x + 4y - 4 = 0$ in the line $2x - 3y + 5 = 0$ and $A$ be the point on $C$ such that $OA$ is parallel to $x$-axis and $A$ lies on the right hand side of the centre $O$ of $C$. If $B(\alpha, \beta)$, with $\beta < 4$, lies on $C$ such that the length of the arc $AB$ is $(1/6)^{\text{th}}$ of the perimeter of $C$, then $\beta - \sqrt{3} \alpha$ is equal to",1.0,Mathematics,
{},21,[1],,,,{},"[""17"", ""21"", ""56"", ""42""]","Let in a $\triangle ABC$, the length of the side $AC$ be 6, the vertex $B$ be $(1,2,3)$ and the vertices $A, C$ lie on the line $\frac{x-6}{3} = \frac{y-7}{2} = \frac{z-7}{2}$. Then the area (in sq. units) of $\triangle ABC$ is:",1.0,Mathematics,
{},$\frac{3 - 2\sqrt{2}}{2\sqrt{3}}$,[1],,,,{},"[""$\\frac{1 - \\sqrt{3}}{\\sqrt{2}}$"", ""$\\frac{3 - 2\\sqrt{2}}{2\\sqrt{3}}$"", ""$\\frac{3 - 2\\sqrt{2}}{3\\sqrt{2}}$"", ""$\\frac{1 - 2\\sqrt{2}}{\\sqrt{3}}$""]","Let the product of the focal distances of the point $\left(\sqrt{3}, \frac{1}{2}\right)$ on the ellipse $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$, $(a > b)$, be $\frac{7}{4}$. Then the absolute difference of the eccentricities of two such ellipses is",1.0,Mathematics,
{},57,[0],,,,{},"[""57"", ""59"", ""55"", ""56""]","If the system of equations $2x - y + z = 4$, $5x + \lambda y + 3z = 12$, $100x - 47y + \mu z = 212$ has infinitely many solutions, then $\mu - 2\lambda$ is equal to",1.0,Mathematics,
{},35,[2],,,,{},"[""20"", ""10"", ""35"", ""70""]","For some $n \neq 10$, let the coefficients of the 5th, 6th and 7th terms in the binomial expansion of $(1 + x)^{n+4}$ be in A.P. Then the largest coefficient in the expansion of $(1 + x)^{n+4}$ is:",1.0,Mathematics,
{},14,[0],,,,{},"[""14"", ""21"", ""28"", ""7""]","The product of all the rational roots of the equation $\left(x^2 - 9x + 11\right)^2 - (x - 4)(x - 5) = 3$, is equal to",1.0,Mathematics,
{},$5\sqrt{5}$,[1],,,,{},"[""5"", ""$5\\sqrt{5}$"", ""$5\\sqrt{6}$"", ""10""]","Let the line passing through the points $(-1, 2, 1)$ and parallel to the line $\frac{x-1}{2} = \frac{y+1}{3} = \frac{z}{4}$ intersect the line $\frac{x+2}{3} = \frac{y-3}{2} = \frac{z-4}{3}$ at the point $P$. Then the distance of $P$ from the point $Q(4, -5, 1)$ is",1.0,Mathematics,
{},91,[2],,,,{},"[""84"", ""113"", ""91"", ""101""]","Let the lines $3x - 4y - \alpha = 0$, $8x - 11y - 33 = 0$, and $2x - 3y + \lambda = 0$ be concurrent. If the image of the point $(1, 2)$ in the line $2x - 3y + \lambda = 0$ is $\left(\frac{87}{13}, \frac{-60}{13}\right)$, then $|\alpha \lambda|$ is equal to",1.0,Mathematics,
{},441,[0],,,,{},"[""441"", ""398"", ""312"", ""409""]","If $\alpha$ and $\beta$ are the roots of the equation $2x^2 - 3x - 2i = 0$, where $i = \sqrt{-1}$, then $16 \cdot \operatorname{Re}\left(\frac{\alpha^{18} + \beta^{18} + \alpha^{13} + \beta^{11}}{\alpha^{15} + \beta^{15}}\right) \cdot \operatorname{Im}\left(\frac{\alpha^{18} + \beta^{19} + \alpha^{11} + \beta^{11}}{\alpha^{15} + \beta^{15}}\right)$ is equal to",1.0,Mathematics,
{},7,[2],,,,{},"[""9"", ""5"", ""7"", ""4""]","For a statistical data $x_1, x_2, \ldots, x_{10}$ of 10 values, a student obtained the mean as 5.5 and $\sum_{i=1}^{10} x_i^2 = 371$. He later found that he had noted two values in the data incorrectly as 4 and 5, instead of the correct values 6 and 8, respectively. The variance of the corrected data is",1.0,Mathematics,
{},$\frac{20}{3}$,[3],,,,{},"[""7"", ""5"", ""$\\frac{24}{5}$"", ""$\\frac{20}{3}$""]","The area of the region $\left\{(x, y): x^2 + 4x + 2 \leq y \leq |x + 2|\right\}$ is equal to",1.0,Mathematics,
{},25,[3],,,,{},"[""20"", ""90"", ""45"", ""25""]","Let $S_n = \frac{1}{2} + \frac{1}{6} + \frac{1}{12} + \frac{1}{20} + \ldots$ up to $n$ terms. If the sum of the first six terms of an A.P. with first term $-p$ and common difference $p$ is $\sqrt{2026 S_{2025}}$, then the absolute difference between $20^{\text{th}}$ and $15^{\text{th}}$ terms of the A.P. is",1.0,Mathematics,
{},4,[2],,,,{},"[""5"", ""3"", ""4"", ""6""]","Let $f: \mathbb{R} - \{0\} \rightarrow \mathbb{R}$ be a function such that $f(x) - 6 f\left(\frac{1}{x}\right) = \frac{35}{3x} - \frac{5}{2}$. If the $\lim_{x \rightarrow 0} \left(\frac{1}{\alpha x} + f(x)\right) = \beta$; $\alpha, \beta \in \mathbb{R}$, then $\alpha + 2\beta$ is equal to",1.0,Mathematics,
{},"$I(9, 13)$",[3],,,,{},"[""$I(19, 27)$"", ""$I(9, 1)$"", ""$I(1, 13)$"", ""$I(9, 13)$""]","If $I(m, n) = \int_0^1 x^{m-1} (1 - x)^{n-1} dx$, $m, n > 0$, then $I(9, 14) + I(10, 13)$ is",1.0,Mathematics,
{},$\frac{9}{19}$,[1],,,,{},"[""$\\frac{8}{17}$"", ""$\\frac{9}{19}$"", ""$\\frac{9}{17}$"", ""$\\frac{8}{19}$""]","$A$ and $B$ alternately throw a pair of dice. $A$ wins if he throws a sum of 5 before $B$ throws a sum of 8, and $B$ wins if he throws a sum of 8 before $A$ throws a sum of 5. The probability, that $A$ wins if $A$ makes the first throw, is",1.0,Mathematics,
{},118,[1],,,,{},"[""92"", ""118"", ""102"", ""108""]",Let $f(x) = \frac{2^{x+2} + 16}{2^{2x+1} + 2^{x+4} + 32}$. Then the value of $8\left(f\left(\frac{1}{15}\right) + f\left(\frac{2}{15}\right) + \ldots + f\left(\frac{59}{15}\right)\right)$ is equal to,1.0,Mathematics,
{},$\frac{5\sqrt{3}}{2}$,[1],,,,{},"[""$\\sqrt{\\frac{15}{2}}$"", ""$\\frac{5\\sqrt{3}}{2}$"", ""$2\\sqrt{2}$"", ""$\\sqrt{\\frac{14}{3}}$""]","Let $y = y(x)$ be the solution of the differential equation $\left(xy - 5x^2 \sqrt{1 + x^2}\right) dx + \left(1 + x^2\right) dy = 0$, $y(0) = 0$. Then $y(\sqrt{3})$ is equal to",1.0,Mathematics,
{},$-\frac{1}{2\sqrt{5}}$,[3],,,,{},"[""0"", ""$\\frac{1}{\\sqrt{15}}$"", ""$\\frac{1}{2\\sqrt{5}}$"", ""$-\\frac{1}{2\\sqrt{5}}$""]",$\lim_{x \rightarrow 0} \csc x \left(\sqrt{2 \cos^2 x + 3 \cos x} - \sqrt{\cos^2 x + \sin x + 4}\right)$ is:,1.0,Mathematics,
{},$\frac{567}{121}$,[3],,,,{},"[""$\\frac{730}{119}$"", ""$\\frac{825}{111}$"", ""$\\frac{821}{123}$"", ""$\\frac{567}{121}$""]","Consider the region $R = \left\{(x, y): x \leq y \leq 9 - \frac{11}{3} x^2, x \geq 0\right\}$. The area, of the largest rectangle of sides parallel to the coordinate axes and inscribed in $R$, is:",1.0,Mathematics,
